Region,MedialTemporal,RightParietalTemporal,LeftParietalTemporal,Precuneus,Occipital,LateralFrontal,Sensorimotor,Orbitofrontal
lh_bankssts,9.97922118490851e-17,9.97922118490851e-17,0.421605391806226,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17
lh_caudalanteriorcingulate,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,7.94209313005219e-14,0.0479718164434616,0.222875872235269
lh_caudalmiddlefrontal,9.97922118490851e-17,9.97922118490851e-17,0.0649984529511101,0.149726335393582,9.97922118490851e-17,0.114246879091528,9.97922118490851e-17,9.97922118490851e-17
lh_cuneus,9.97922118490851e-17,9.97922118490851e-17,0.00129576090961538,0.00097211704840032,0.359504881533691,6.27562667430548e-15,5.20029325618504e-11,1.18286122863102e-16
lh_entorhinal,0.384906163663527,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17
lh_frontalpole,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,0.234228589784811,9.97922118490851e-17,0.0340377330275541
lh_fusiform,0.130234212166266,9.97922118490851e-17,0.27860181631625,9.97922118490851e-17,4.94755311217544e-09,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17
lh_inferiorparietal,9.97922118490851e-17,9.97922118490851e-17,0.265290751091516,0.125316387106724,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17
lh_inferiortemporal,0.0735388725417146,9.97922118490851e-17,0.355460966135326,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17
lh_insula,0.0745233248931534,9.97922118490851e-17,1.30430534448064e-13,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,0.0303264246956016,0.197147997792051
lh_isthmuscingulate,0.0424046037691075,9.97922118490851e-17,0.0136432033715599,0.293789430916553,9.97922118490851e-17,6.88541462673232e-14,9.97922118490851e-17,4.10462147601477e-12
lh_lateraloccipital,9.97922118490851e-17,9.97922118490851e-17,0.0978400183936073,9.97922118490851e-17,0.28356074312945,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17
lh_lateralorbitofrontal,0.000773152419242225,9.97922118490851e-17,0.0249740307482964,9.97922118490851e-17,9.97922118490851e-17,0.0832304519574365,7.75589896414331e-13,0.206899559633426
lh_lingual,0.00851819980526792,9.97922118490851e-17,0.0397907413630573,3.46316234789377e-15,0.237646828073368,9.97922118490851e-17,0.0695203161033323,2.7849256296943e-08
lh_medialorbitofrontal,0.00128492434598691,9.97922118490851e-17,7.50394031591376e-10,9.97922118490851e-17,9.97922118490851e-17,2.8082784222876e-12,7.1910950106464e-15,0.283126631559321
lh_middletemporal,0.0141866036607868,9.97922118490851e-17,0.394462069290985,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17
lh_paracentral,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,0.312871472824609,6.67728749873777e-06
lh_parahippocampal,0.326409224190638,9.97922118490851e-17,3.12857326151815e-06,1.00095219350418e-06,1.15456769985523e-07,2.23067221559078e-13,0.029677826897305,0.00376650912408272
lh_parsopercularis,9.97922118490851e-17,9.97922118490851e-17,0.0768617435378147,7.75576039473207e-14,9.97922118490851e-17,0.238990455318165,0.00171008038226842,1.2244857473969e-09
lh_parsorbitalis,3.63155201718026e-16,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,0.293560564734702,3.23003307868158e-05,0.0236236381773641
lh_parstriangularis,9.97922118490851e-17,9.97922118490851e-17,1.00023519585505e-08,9.97922118490851e-17,8.96739442881399e-15,0.282369092836925,0.0319692404724294,3.88279643357433e-08
lh_pericalcarine,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,0.129835811808697,9.97922118490851e-17,0.214971833798873,1.82497147618585e-10
lh_postcentral,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,7.87077043325743e-11,0.000111340820827779,0.298333149289477,1.53086767688214e-15
lh_posteriorcingulate,2.64755994090552e-10,9.97922118490851e-17,0.000276700276307389,0.200551815474624,9.97922118490851e-17,0.000119406738668597,6.69633221149345e-08,0.120762340858426
lh_precentral,9.97922118490851e-17,9.97922118490851e-17,0.000103908869834547,9.97922118490851e-17,0.00192580335268618,0.0242247474254189,0.280193715614896,2.10651704018929e-10
lh_precuneus,9.97922118490851e-17,9.97922118490851e-17,3.20985061919304e-05,0.360863260098877,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17
lh_rostralanteriorcingulate,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,2.13194002189213e-13,0.265926575073102
lh_rostralmiddlefrontal,9.97922118490851e-17,9.97922118490851e-17,5.73168233811381e-09,1.86637183731453e-05,9.97922118490851e-17,0.308691079579671,9.97922118490851e-17,9.97922118490851e-17
lh_superiorfrontal,6.27802314755989e-08,9.97922118490851e-17,0.00984211670859916,0.00755672661117946,5.21312935665852e-11,0.209408603472957,0.0353385005879672,0.0273128360369248
lh_superiorparietal,9.97922118490851e-17,9.97922118490851e-17,0.0522413760175661,0.150030635937688,0.143367527121195,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17
lh_superiortemporal,0.000146086310602139,9.97922118490851e-17,0.206185630776528,9.97922118490851e-17,9.97922118490851e-17,1.78376208134804e-12,0.0167857560159063,0.103382904267347
lh_supramarginal,9.97922118490851e-17,9.97922118490851e-17,0.207434427629905,0.125567987277273,5.72541930219299e-12,0.0212259781055013,1.03703896035846e-09,9.97922118490851e-17
lh_temporalpole,0.330859750309426,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,6.72940309557772e-15,0.0229369223698334
lh_transversetemporal,1.65572011619711e-15,9.97922118490851e-17,0.0242293040059751,9.97922118490851e-17,9.97922118490851e-17,1.07500915814183e-10,0.204024364692119,0.0662942223570181
rh_bankssts,9.97922118490851e-17,0.460650092989879,1.38095620981507e-05,1.88045731379751e-11,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17
rh_caudalanteriorcingulate,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,0.0383337649410736,0.230936837317094
rh_caudalmiddlefrontal,9.97922118490851e-17,0.0626448707855997,9.97922118490851e-17,0.149884062956029,9.97922118490851e-17,0.119080790981194,9.97922118490851e-17,9.97922118490851e-17
rh_cuneus,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,0.364261313058058,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17
rh_entorhinal,0.38609311674275,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17
rh_frontalpole,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,0.186725571376333,9.97922118490851e-17,0.0856726774609558
rh_fusiform,0.145739098657107,0.217273702601454,9.97922118490851e-17,9.97922118490851e-17,0.0664251105885707,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17
rh_inferiorparietal,9.97922118490851e-17,0.216523075590213,9.97922118490851e-17,0.190412183487089,2.59834418559793e-10,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17
rh_inferiortemporal,0.0770889847179581,0.385432042505533,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17
rh_insula,0.0383909078825917,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,0.00566572520851209,0.245909980025937
rh_isthmuscingulate,0.0472652393089779,3.6678867980439e-06,9.97922118490851e-17,0.291234116473872,9.97922118490851e-17,2.3674607365883e-07,9.97922118490851e-17,0.0101076241307725
rh_lateraloccipital,9.97922118490851e-17,0.00126803561214339,9.97922118490851e-17,9.97922118490851e-17,0.389584099186536,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17
rh_lateralorbitofrontal,0.000290268545745686,0.024259463196524,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,1.3582351291881e-05,4.3963706717267e-14,0.288626041453523
rh_lingual,0.00894963717694246,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,0.313105021154162,9.97922118490851e-17,0.00904810604269544,0.0198585477136155
rh_medialorbitofrontal,4.80916270394719e-05,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,0.283417559444581
rh_middletemporal,0.00191567276575092,0.451484317129226,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17
rh_paracentral,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,0.314532144050075,2.2970116811047e-07
rh_parahippocampal,0.291662003126316,0.0325310859207492,9.97922118490851e-17,2.40685353881602e-09,0.00133302901395618,9.97922118490851e-17,1.31604636863043e-05,0.0311759463170888
rh_parsopercularis,9.97922118490851e-17,0.0687371242296718,9.97922118490851e-17,6.3865491136553e-09,4.54923065151823e-09,0.204153747237136,0.0318615139736474,0.0200171279665859
rh_parsorbitalis,9.97922118490851e-17,1.13021828729967e-12,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,0.221563125284405,2.63228351403066e-09,0.0900116539171911
rh_parstriangularis,9.97922118490851e-17,9.13574871675036e-14,9.97922118490851e-17,9.97922118490851e-17,6.80190330813235e-08,0.226871114068444,0.0617282192076216,0.0256390388148071
rh_pericalcarine,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,0.194480370474691,9.97922118490851e-17,0.155963146059038,5.87504848582764e-09
rh_postcentral,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,1.63033046607196e-06,9.97922118490851e-17,0.298055849769084,2.01594715059208e-13
rh_posteriorcingulate,9.97922118490851e-17,0.000182653990190425,9.97922118490851e-17,0.194685394744762,9.97922118490851e-17,2.70222587736533e-05,1.63949666939751e-09,0.12520452601603
rh_precentral,9.97922118490851e-17,9.17694693263634e-12,9.97922118490851e-17,9.97922118490851e-17,0.00125746123972263,0.00484006568502463,0.301096751213242,2.2821607584502e-08
rh_precuneus,9.97922118490851e-17,1.12960640739381e-08,9.97922118490851e-17,0.333916443481853,0.0245976341612712,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17
rh_rostralanteriorcingulate,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,1.29836745131504e-13,0.266363632511954
rh_rostralmiddlefrontal,9.97922118490851e-17,0.00374342725771783,9.97922118490851e-17,2.50901121711322e-05,9.97922118490851e-17,0.308136984223701,9.97922118490851e-17,9.97922118490851e-17
rh_superiorfrontal,9.97922118490851e-17,0.0294226061371255,9.97922118490851e-17,1.71952249635778e-05,2.40351944317214e-11,0.183697597153537,0.000481613753757158,0.0717479182629724
rh_superiorparietal,9.97922118490851e-17,9.66401998237372e-05,9.97922118490851e-17,0.147873413740511,0.194355275567382,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17
rh_superiortemporal,0.000724132584830669,0.17359625741286,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,0.0761222773334244,0.0914842524381316
rh_supramarginal,9.97922118490851e-17,0.140134168619423,9.97922118490851e-17,0.14429033675313,0.0101290123410704,0.00880635705975684,0.0581488288846806,6.81149074310478e-10
rh_temporalpole,0.300083009789747,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,1.26376743148391e-15,0.0433135317415435
rh_transversetemporal,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.97922118490851e-17,9.67852216612604e-13,9.97922118490851e-17,0.223994768172257,0.0638686698971259
